slang,formal,category,length
jng,jangan,abreviasi,3
luh,lu,anaptiksis,3
yep,ya,modifikasi vokal,3
loe,lo,anaptiksis,3
sudab,sudah,salah ketik,5
nmr,nomor,abreviasi,3
kitaaa,kita,elongasi,6
ntn,menonton,abreviasi,3
knpp,kenapa,abreviasi,4
aaahh,ah,elongasi,5
pa2,apa-apa,reduplikasi,3
kaya,kayak,zeroisasi,4
ktg,kita,abreviasi,3
de,dek,zeroisasi,2
bngatt,banget,abreviasi,6
dii,di,elongasi,3
ooh,oh,elongasi,3
awl,awal,abreviasi,3
hrus,harus,abreviasi,4
smw,semua,abreviasi,3
uuh,uh,elongasi,3
eehhh,eh,elongasi,5
iiii,ih,elongasi,4
bangrt,banget,salah ketik,6
bhet,banget,zeroisasi,4
nga,enggak,abreviasi,3
de,deh,zeroisasi,2
bettt,banget,abreviasi,5
brapa,berapa,zeroisasi,5
pen,pengin,abreviasi,3
dptnya,dapatnya,abreviasi,6
bngeet,banget,abreviasi,6
yoo,ya,modifikasi vokal,3
bisax,bisanya,word-value letter,5
mndpat,mendapat,abreviasi,6
trll,terlalu,abreviasi,4
d.apa,diapa,pungtuasi,5
apain,apai,afiksasi,5
y,nya,word-value letter,1
si,sih,zeroisasi,2
brg,bareng,abreviasi,3
kha,kah,subtitusi,3
s,si,abreviasi,1
s,sih,abreviasi,1
wik,wig,subtitusi,3
ithu,itu,anaptiksis,4
tapo,tapi,modifikasi vokal,4
gkk,enggak,abreviasi,3
taz,atas,abreviasi,3
nyah,nya,anaptiksis,4
yq,yang,subtitusi,2
adl,adalah,abreviasi,3
bhn,bahan,abreviasi,3
brsma,bersama,abreviasi,5
le,boleh,abreviasi,2
ugha,juga,abreviasi,4
yam,ya,anaptiksis,3
kta,kita,abreviasi,3
koq,kok,subtitusi,3
yyaaa,ya,elongasi,5
"ms""",masa-masa,reduplikasi,3
ngg,enggak,abreviasi,3
nanget,banget,salah ketik,6
himana,bagaimana,salah ketik,6
aneut,banget,subtitusi,5
slw,selow,abreviasi,3
cpa,siapa,subtitusi,3
akuu,aku,elongasi,4
aelah,alah,anaptiksis,5
bukak,buka,anaptiksis,5
kareno,karena,modifikasi vokal,6
apo,apa,modifikasi vokal,3
nyo,nya,modifikasi vokal,3
sdah,sudah,abreviasi,4
ajj,saja,abreviasi,3
lsg,langsung,abreviasi,3
kelus,kali,subtitusi,5
